numExamplesUsed	epoch	score	AUC	condition
375355078	45	NaN	0.971562	RNA-Seq Goby
383514971	46	NaN	0.971594	RNA-Seq Goby
391674864	47	NaN	0.971624	RNA-Seq Goby
399834757	48	NaN	0.971655	RNA-Seq Goby
407994650	49	NaN	0.971683	RNA-Seq Goby
416154543	50	NaN	0.971712	RNA-Seq Goby
424314436	51	NaN	0.971736	RNA-Seq Goby
432474329	52	NaN	0.971760	RNA-Seq Goby
440634222	53	NaN	0.971790	RNA-Seq Goby
448794115	54	NaN	0.971817	RNA-Seq Goby
456954008	55	NaN	0.971842	RNA-Seq Goby
465113901	56	NaN	0.971872	RNA-Seq Goby
473273794	57	NaN	0.971897	RNA-Seq Goby
481433687	58	NaN	0.971922	RNA-Seq Goby
489593580	59	NaN	0.971945	RNA-Seq Goby
497753473	60	NaN	0.971969	RNA-Seq Goby
505913366	61	NaN	0.971990	RNA-Seq Goby
514073259	62	NaN	0.972013	RNA-Seq Goby
522233152	63	NaN	0.972039	RNA-Seq Goby
530393045	64	NaN	0.972069	RNA-Seq Goby
538552938	65	NaN	0.972094	RNA-Seq Goby
546712831	66	NaN	0.972121	RNA-Seq Goby
554872724	67	NaN	0.972152	RNA-Seq Goby
563032617	68	NaN	0.972180	RNA-Seq Goby
571192510	69	NaN	0.972209	RNA-Seq Goby
579352403	70	NaN	0.972232	RNA-Seq Goby
587512296	71	NaN	0.972256	RNA-Seq Goby
595672189	72	NaN	0.972280	RNA-Seq Goby
603832082	73	NaN	0.972305	RNA-Seq Goby
611991975	74	NaN	0.972334	RNA-Seq Goby
620151868	75	NaN	0.972360	RNA-Seq Goby
628311761	76	NaN	0.972386	RNA-Seq Goby
636471654	77	NaN	0.972406	RNA-Seq Goby
644631547	78	NaN	0.972432	RNA-Seq Goby
652791440	79	NaN	0.972453	RNA-Seq Goby
660951333	80	NaN	0.972473	RNA-Seq Goby
669111226	81	NaN	0.972493	RNA-Seq Goby
677271119	82	NaN	0.972514	RNA-Seq Goby
685431012	83	NaN	0.972528	RNA-Seq Goby
693590905	84	NaN	0.972544	RNA-Seq Goby
701750798	85	NaN	0.972566	RNA-Seq Goby
709910691	86	NaN	0.972577	RNA-Seq Goby
718070584	87	NaN	0.972597	RNA-Seq Goby
726230477	88	NaN	0.972613	RNA-Seq Goby
734390370	89	NaN	0.972629	RNA-Seq Goby
742550263	90	NaN	0.972646	RNA-Seq Goby
750710156	91	NaN	0.972661	RNA-Seq Goby
758870049	92	NaN	0.972679	RNA-Seq Goby
767029942	93	NaN	0.972695	RNA-Seq Goby
775189835	94	NaN	0.972714	RNA-Seq Goby
783349728	95	NaN	0.972723	RNA-Seq Goby
791509621	96	NaN	0.972737	RNA-Seq Goby
799669514	97	NaN	0.972749	RNA-Seq Goby
807829407	98	NaN	0.972758	RNA-Seq Goby
815989300	99	NaN	0.972771	RNA-Seq Goby
824149193	100	NaN	0.972782	RNA-Seq Goby
832309086	101	NaN	0.972794	RNA-Seq Goby
840468979	102	NaN	0.972806	RNA-Seq Goby
848628872	103	NaN	0.972816	RNA-Seq Goby
856788765	104	NaN	0.972832	RNA-Seq Goby
864948658	105	NaN	0.972848	RNA-Seq Goby
873108551	106	NaN	0.972857	RNA-Seq Goby
881268444	107	NaN	0.972868	RNA-Seq Goby
889428337	108	NaN	0.972882	RNA-Seq Goby
897588230	109	NaN	0.972894	RNA-Seq Goby
905748123	110	NaN	0.972906	RNA-Seq Goby
913908016	111	NaN	0.972916	RNA-Seq Goby
922067909	112	NaN	0.972925	RNA-Seq Goby
930227802	113	NaN	0.972933	RNA-Seq Goby
938387695	114	NaN	0.972947	RNA-Seq Goby
946547588	115	NaN	0.972956	RNA-Seq Goby
954707481	116	NaN	0.972965	RNA-Seq Goby
962867374	117	NaN	0.972975	RNA-Seq Goby
971027267	118	NaN	0.972985	RNA-Seq Goby
979187160	119	NaN	0.972996	RNA-Seq Goby
987347053	120	NaN	0.973007	RNA-Seq Goby
995506946	121	NaN	0.973020	RNA-Seq Goby
1003666839	122	NaN	0.973025	RNA-Seq Goby
1011826732	123	NaN	0.973031	RNA-Seq Goby
1019986625	124	NaN	0.973040	RNA-Seq Goby
1028146518	125	NaN	0.973044	RNA-Seq Goby
1036306411	126	NaN	0.973049	RNA-Seq Goby
1044466304	127	NaN	0.973060	RNA-Seq Goby
1052626197	128	NaN	0.973067	RNA-Seq Goby
1060786090	129	NaN	0.973073	RNA-Seq Goby
1068945983	130	NaN	0.973085	RNA-Seq Goby
1077105876	131	NaN	0.973095	RNA-Seq Goby
1085265769	132	NaN	0.973100	RNA-Seq Goby
1093425662	133	NaN	0.973106	RNA-Seq Goby
1101585555	134	NaN	0.973111	RNA-Seq Goby
1109745448	135	NaN	0.973120	RNA-Seq Goby
1117905341	136	NaN	0.973127	RNA-Seq Goby
1126065234	137	NaN	0.973135	RNA-Seq Goby
1134225127	138	NaN	0.973140	RNA-Seq Goby
1142385020	139	NaN	0.973151	RNA-Seq Goby
1150544913	140	NaN	0.973155	RNA-Seq Goby
1158704806	141	NaN	0.973163	RNA-Seq Goby
1166864699	142	NaN	0.973171	RNA-Seq Goby
1175024592	143	NaN	0.973178	RNA-Seq Goby
1183184485	144	NaN	0.973186	RNA-Seq Goby
1191344378	145	NaN	0.973194	RNA-Seq Goby
1199504271	146	NaN	0.973201	RNA-Seq Goby
1207664164	147	NaN	0.973208	RNA-Seq Goby
1215824057	148	NaN	0.973216	RNA-Seq Goby
1223983950	149	NaN	0.973218	RNA-Seq Goby
1232143843	150	NaN	0.973226	RNA-Seq Goby
1240303736	151	NaN	0.973232	RNA-Seq Goby
1248463629	152	NaN	0.973242	RNA-Seq Goby
1256623522	153	NaN	0.973248	RNA-Seq Goby
1264783415	154	NaN	0.973254	RNA-Seq Goby
1272943308	155	NaN	0.973263	RNA-Seq Goby
1281103201	156	NaN	0.973269	RNA-Seq Goby
1289263094	157	NaN	0.973277	RNA-Seq Goby
1297422987	158	NaN	0.973291	RNA-Seq Goby
1305582880	159	NaN	0.973293	RNA-Seq Goby
1313742773	160	NaN	0.973300	RNA-Seq Goby
1321902666	161	NaN	0.973309	RNA-Seq Goby
1330062559	162	NaN	0.973314	RNA-Seq Goby
1338222452	163	NaN	0.973323	RNA-Seq Goby
1346382345	164	NaN	0.973330	RNA-Seq Goby
1354542238	165	NaN	0.973335	RNA-Seq Goby
1362702131	166	NaN	0.973345	RNA-Seq Goby
1370862024	167	NaN	0.973351	RNA-Seq Goby
1379021917	168	NaN	0.973356	RNA-Seq Goby
1387181810	169	NaN	0.973364	RNA-Seq Goby
1395341703	170	NaN	0.973371	RNA-Seq Goby
1403501596	171	NaN	0.973378	RNA-Seq Goby
1411661489	172	NaN	0.973385	RNA-Seq Goby
1419821382	173	NaN	0.973392	RNA-Seq Goby
1427981275	174	NaN	0.973401	RNA-Seq Goby
1436141168	175	NaN	0.973405	RNA-Seq Goby
1444301061	176	NaN	0.973410	RNA-Seq Goby
1452460954	177	NaN	0.973416	RNA-Seq Goby
1460620847	178	NaN	0.973424	RNA-Seq Goby
1468780740	179	NaN	0.973429	RNA-Seq Goby
1476940633	180	NaN	0.973436	RNA-Seq Goby
1485100526	181	NaN	0.973439	RNA-Seq Goby
1493260419	182	NaN	0.973447	RNA-Seq Goby
1501420312	183	NaN	0.973455	RNA-Seq Goby
1509580205	184	NaN	0.973463	RNA-Seq Goby
1517740098	185	NaN	0.973471	RNA-Seq Goby
1525899991	186	NaN	0.973474	RNA-Seq Goby
1534059884	187	NaN	0.973483	RNA-Seq Goby
1542219777	188	NaN	0.973491	RNA-Seq Goby
1550379670	189	NaN	0.973494	RNA-Seq Goby
1558539563	190	NaN	0.973499	RNA-Seq Goby
1566699456	191	NaN	0.973506	RNA-Seq Goby
1574859349	192	NaN	0.973513	RNA-Seq Goby
1583019242	193	NaN	0.973519	RNA-Seq Goby
1591179135	194	NaN	0.973528	RNA-Seq Goby
1599339028	195	NaN	0.973533	RNA-Seq Goby
1607498921	196	NaN	0.973540	RNA-Seq Goby
1615658814	197	NaN	0.973545	RNA-Seq Goby
1623818707	198	NaN	0.973549	RNA-Seq Goby
1631978600	199	NaN	0.973555	RNA-Seq Goby
1640138493	200	NaN	0.973560	RNA-Seq Goby
1648298386	201	NaN	0.973566	RNA-Seq Goby
1656458279	202	NaN	0.973574	RNA-Seq Goby
1664618172	203	NaN	0.973580	RNA-Seq Goby
1672778065	204	NaN	0.973585	RNA-Seq Goby
1680937958	205	NaN	0.973589	RNA-Seq Goby
1689097851	206	NaN	0.973596	RNA-Seq Goby
1697257744	207	NaN	0.973601	RNA-Seq Goby
